timestamp,sensor_id,temp_c,humidity_pct,pressure_hpa,vibration_hz,noise_db
2025-01-01T00:00:00Z,S-001,21.6,53.3,1012.4,70.5,44.0
2025-01-01T01:00:00Z,S-002,17.5,58.3,1011.7,56.7,45.9
2025-01-01T02:00:00Z,S-003,22.7,66.6,1016.3,61.7,39.1
2025-01-01T03:00:00Z,S-004,19.0,57.5,1019.6,60.6,44.1
2025-01-01T04:00:00Z,S-005,23.6,40.5,1011.4,67.4,52.0
2025-01-01T05:00:00Z,S-006,21.3,58.8,1014.2,71.7,36.1
2025-01-01T06:00:00Z,S-007,23.7,39.9,999.9,50.9,37.7
2025-01-01T07:00:00Z,S-008,24.6,61.6,1006.9,72.7,37.0
2025-01-01T08:00:00Z,S-009,21.7,52.1,1013.6,72.3,50.1
2025-01-01T09:00:00Z,S-010,23.0,61.5,1015.4,50.6,39.3
2025-01-01T10:00:00Z,S-001,20.6,60.0,1011.7,95.0,38.4
2025-01-01T11:00:00Z,S-002,18.7,62.7,1020.1,67.6,51.7
2025-01-01T12:00:00Z,S-003,26.3,54.1,1005.9,52.0,52.6
2025-01-01T13:00:00Z,S-004,17.7,55.3,1014.3,55.3,50.8
2025-01-01T14:00:00Z,S-005,23.7,78.2,1016.1,50.9,40.5
2025-01-01T15:00:00Z,S-006,19.5,64.5,1010.2,58.9,51.0
2025-01-01T16:00:00Z,S-007,19.8,52.1,1003.8,43.8,40.5
2025-01-01T17:00:00Z,S-008,23.2,66.9,1012.9,63.9,46.3
2025-01-01T18:00:00Z,S-009,25.3,63.9,1014.4,44.8,52.2
2025-01-01T19:00:00Z,S-010,23.1,67.3,1012.9,89.3,42.1
2025-01-01T20:00:00Z,S-001,26.8,56.2,1010.4,43.1,43.8
2025-01-01T21:00:00Z,S-002,26.3,63.2,1016.4,24.4,50.7
2025-01-01T22:00:00Z,S-003,23.7,49.5,1009.9,60.0,58.8
2025-01-01T23:00:00Z,S-004,18.8,50.7,1019.8,53.3,42.1
2025-01-02T00:00:00Z,S-005,22.3,42.6,1014.1,41.9,52.1
2025-01-02T01:00:00Z,S-006,22.0,77.8,1014.4,80.5,34.6
2025-01-02T02:00:00Z,S-007,21.6,58.2,1021.7,34.8,52.9
2025-01-02T03:00:00Z,S-008,23.8,70.3,1016.6,60.8,40.8
2025-01-02T04:00:00Z,S-009,18.3,57.0,1012.0,90.3,40.1
2025-01-02T05:00:00Z,S-010,23.0,39.3,1011.0,63.9,51.6
2025-01-02T06:00:00Z,S-001,26.3,54.6,1007.4,66.9,49.1
2025-01-02T07:00:00Z,S-002,23.5,48.0,1018.7,61.3,50.6
2025-01-02T08:00:00Z,S-003,25.8,61.1,1014.4,92.3,46.9
2025-01-02T09:00:00Z,S-004,21.1,56.1,1020.4,61.8,49.2
